rcept_dt,corp_cls,corp_name,stock_code,report_nm,rcept_no,flr_nm
20251203,K,아이에스티이,212710,장래사업ㆍ경영계획(공정공시)              ,20251203900099,아이에스티이
20251203,E,엘지마그나이파워트레인,,[기재정정]타인을위한채무보증결정,20251203000047,엘지마그나이파워트레인
20251203,K,탑엔지니어링,065130,주식소각결정              ,20251203900093,탑엔지니어링
20251203,K,엘디티,096870,주식등의대량보유상황보고서(일반),20251203000046,티에스이
20251203,K,토비스,051360,수시공시의무관련사항(공정공시)              ,20251203900081,토비스
20251203,K,엘디티,096870,임원ㆍ주요주주특정증권등소유상황보고서,20251203000045,티에스이
20251203,K,유비쿼스홀딩스,078070,임시주주총회결과              ,20251203900083,유비쿼스홀딩스
20251203,K,티에스이,131290,임원ㆍ주요주주특정증권등소유상황보고서,20251203000044,김보현
20251203,Y,삼성증권,016360,증권발행실적보고서,20251203000043,삼성증권
20251203,K,씨메스,475400,임원ㆍ주요주주특정증권등소유상황보고서,20251203000042,박준규
20251203,K,위세아이텍,065370,임원ㆍ주요주주특정증권등소유상황보고서,20251203000041,이제동
20251203,K,모비스,250060,[기재정정]최대주주변경을수반하는주식양수도계약체결              ,20251203900088,모비스
20251203,K,샘씨엔에스,252990,자기주식처분결과보고서,20251203000040,샘씨엔에스
20251203,K,신테카바이오,226330,임원ㆍ주요주주특정증권등소유상황보고서,20251203000039,홍종희
20251203,K,대성파인텍,104040,주주명부폐쇄기간또는기준일설정              ,20251203900089,대성파인텍
20251203,E,한국투자증권,,일괄신고추가서류(파생결합사채-주가연계파생결합사채),20251203000038,한국투자증권
20251203,Y,신도리코,029530,주식등의대량보유상황보고서(약식),20251203000037,신영자산운용
20251203,Y,미래에셋증권,006800,투자설명서(일괄신고),20251203000035,미래에셋증권
20251203,E,농업회사법인자연팜앤바이오,,특수관계인으로부터자금차입,20251203000033,농업회사법인자연팜앤바이오
20251203,E,BNK투자증권,,증권발행실적보고서,20251203000032,BNK투자증권
20251203,Y,삼성전자,005930,임원ㆍ주요주주특정증권등소유상황보고서,20251203000030,박성열
20251203,K,DMS,068790,의결권대리행사권유참고서류,20251203000029,DMS
