stock_code,gcn_emb_0,gcn_emb_1,gcn_emb_2,gcn_emb_3,gcn_emb_4,gcn_emb_5,gcn_emb_6,gcn_emb_7,gcn_emb_8,gcn_emb_9,gcn_emb_10,gcn_emb_11,gcn_emb_12,gcn_emb_13,gcn_emb_14,gcn_emb_15
003490,-0.0869306,-0.23417929,0.27398616,0.13817148,-0.19851936,-0.01111544,0.51022434,-0.30234817,0.26569793,-0.11853672,0.49875546,-0.11039708,-0.018396629,0.026278295,-0.037721008,0.32268238
003530,-0.33413222,-0.482494,0.31705195,0.3166183,0.045422375,0.19084072,-0.13502532,-0.40417203,0.306515,-0.06476662,0.1476273,0.09567531,0.16466685,-0.24615842,0.09798166,0.091173396
003540,-0.293179,-0.36558053,0.37677842,0.28933245,-0.12800229,0.05207079,0.27212137,-0.308033,0.3104904,-0.05703815,0.4179677,0.0076291305,0.08033212,-0.116388015,0.036113754,0.2664114
003550,-0.2725167,-0.2776751,0.3019707,0.3114011,-0.22732612,-0.00891881,0.41006425,-0.18651286,0.25364646,-0.053283863,0.47823706,0.123775505,0.016746314,0.020109711,0.12176272,0.28117606
003570,0.264575,0.23556677,-0.12085268,-0.33272323,-0.31539306,-0.3981346,0.43122154,-0.017081147,-0.18592092,0.0477762,0.035474807,-0.3085163,-0.3690075,-0.02411529,-0.16375242,-0.09009794
003580,0.36869642,0.16362767,-0.017551795,-0.37228552,-0.1551612,-0.2106691,0.29927927,0.06330095,-0.029675182,-0.123765275,0.19208644,-0.5451738,-0.12404794,-0.13843253,-0.3879374,0.031553864
003620,0.3394706,0.10687929,-0.026751412,-0.33652908,0.17282927,0.12782541,0.15711138,0.22935466,0.13080558,-0.19230995,0.19278863,-0.51414883,0.13329634,0.12822218,-0.46974072,0.15936562
003670,-0.038508385,-0.32217923,0.3279822,0.16522695,-0.16833776,0.009343548,0.35308558,-0.33327472,0.25875348,-0.20357092,0.52569336,-0.11628229,0.09876477,-0.08725028,-0.07334929,0.273244
003690,-0.3270189,-0.3874394,0.38260272,0.40475717,-0.17164704,0.07133944,0.10678878,-0.1857367,0.17957908,-0.014942639,0.4165431,0.2038633,0.17210919,-0.22765723,0.11899783,0.09556168
003850,0.32831588,0.16405421,-0.14816007,-0.3430658,0.2815462,0.20114623,-0.16574077,0.4477335,-0.04892582,-0.15044755,-0.11962931,-0.35481685,0.19151638,0.11093847,-0.3991914,-0.066422716
003920,-0.24257559,-0.12785836,0.07162355,0.29078525,-0.04450311,-0.056133434,-0.46464595,-0.25049832,-0.18156789,0.17929941,-0.28396472,0.37610334,-0.0652478,-0.3056027,0.3267837,-0.24434361
